z,a,e,Uninformed_pred,Uninformed_CI5,Uninformed_CI95,Informed_Pred,Informed_CI5,Informed_CI95,Infor+Cons_pred,Infor+Cons_CI5,Infor+Cons_CI95,JENDL,JENDL Error,GEF,GEF Error,EXP,EXP Error,ENDF,ENDF Error,JEFF,JEFF Error
53,134,1.1,0.013885684,0.00919883,0.018565412,0.012572219,0.009070136,0.016036938,0.01429638,0.011193819,0.017370932,,,,,,,,,,
53,134,1.2,0.014135779,0.009429232,0.018890659,0.01293286,0.009485485,0.016399124,0.014790892,0.011735545,0.01786102,,,,,,,,,,
53,134,1.3,0.014381567,0.009678014,0.019109763,0.013298157,0.009740504,0.016831213,0.015278782,0.012144545,0.018383534,,,,,,,,,,
53,134,1.4,0.014623001,0.009924026,0.019311752,0.013667623,0.01014436,0.017202923,0.015759824,0.012658454,0.018859547,,,,,,,,,,
53,134,1.5,0.014860038,0.010132465,0.019549096,0.014040774,0.010464451,0.017555019,0.016233811,0.013102121,0.019320386,,,,,,,,,,
53,134,1.6,0.015092671,0.010338567,0.019838278,0.014417123,0.010812255,0.017956392,0.016700562,0.013556323,0.019819041,,,,,,,,,,
53,134,1.7,0.015320884,0.010585941,0.02007314,0.01479619,0.011129454,0.018354376,0.017159912,0.013999328,0.020252407,,,,,,,,,,
53,134,1.8,0.015544701,0.010780673,0.020285783,0.015177496,0.011544855,0.018779365,0.017611718,0.014460081,0.020727356,,,,,,,,,,
53,134,1.9,0.015764144,0.011016845,0.020564315,0.015560572,0.011842072,0.019198422,0.018055856,0.014884461,0.021182568,,,,,,,,,,
53,134,2,0.015979254,0.011197716,0.020777264,0.015944953,0.012254316,0.019572038,0.01849222,0.015307117,0.021610629,,,,,,,,,,
53,134,2.1,0.016190072,0.011416658,0.021003231,0.016330187,0.012546976,0.020009989,0.018920721,0.015701713,0.022084396,,,,,,,,,,
53,134,2.2,0.016396654,0.011632903,0.021155209,0.01671583,0.012961402,0.020366349,0.019341287,0.016125494,0.022494668,,,,,,,,,,
53,134,2.3,0.016599064,0.011802314,0.021393818,0.01710145,0.013337393,0.020796639,0.019753861,0.016494366,0.022925979,,,,,,,,,,
53,134,2.4,0.016797366,0.011983453,0.021616689,0.017486627,0.013698476,0.021185073,0.0201584,0.016937374,0.0233203,,,,,,,,,,
53,134,2.5,0.016991636,0.012166961,0.021796326,0.017870954,0.014092028,0.021654705,0.020554878,0.01734419,0.023747378,,,,,,,,,,
53,134,2.6,0.017181955,0.012365893,0.021994954,0.01825404,0.014422592,0.022018136,0.020943278,0.017679134,0.02411129,,,,,,,,,,
53,134,2.7,0.017368397,0.012498562,0.022185144,0.018635504,0.014725747,0.022459966,0.021323598,0.018019661,0.024523181,,,,,,,,,,
53,134,2.8,0.017551055,0.012711022,0.022384259,0.019014984,0.015136477,0.022810351,0.021695846,0.018381446,0.024913453,,,,,,,,,,
53,134,2.9,0.017730019,0.012868154,0.022570956,0.019392128,0.015502557,0.023189395,0.022060039,0.018758828,0.025262874,,,,,,,,,,
53,134,3,0.017905375,0.013025485,0.022751752,0.019766605,0.015853712,0.023637502,0.022416206,0.019106188,0.025673068,,,,,,,,,,
53,134,3.1,0.018077213,0.013187916,0.022962317,0.020138093,0.016205778,0.023997588,0.022764384,0.019441905,0.02598198,,,,,,,,,,
53,134,3.2,0.018245633,0.013375588,0.023131251,0.02050629,0.016594417,0.024385621,0.023104617,0.019772423,0.02634861,,,,,,,,,,
53,134,3.3,0.018410713,0.013505801,0.02330377,0.020870906,0.016959541,0.0247832,0.023436958,0.020106656,0.026692414,,,,,,,,,,
53,134,3.4,0.018572565,0.013682601,0.023422263,0.021231667,0.017273975,0.025158407,0.023761464,0.020423466,0.027026684,,,,,,,,,,
53,134,3.5,0.018731269,0.013834703,0.023646872,0.021588315,0.01765869,0.025526658,0.024078201,0.020753289,0.027363229,,,,,,,,,,
53,134,3.6,0.018886927,0.013994917,0.023767308,0.021940604,0.017980487,0.025898221,0.024387239,0.021041827,0.027677677,,,,,,,,,,
53,134,3.7,0.019039622,0.014170229,0.023943933,0.022288305,0.018315688,0.026291378,0.024688652,0.021334633,0.027988934,,,,,,,,,,
53,134,3.8,0.019189455,0.014302551,0.024112332,0.022631202,0.018605664,0.026630572,0.024982517,0.021648272,0.028309882,,,,,,,,,,
53,134,3.9,0.019336515,0.014390684,0.024252664,0.022969093,0.018934701,0.026902965,0.025268919,0.021903932,0.028545949,,,,,,,,,,
53,134,4,0.01948089,0.014551793,0.024434534,0.02330179,0.019313596,0.027306546,0.025547943,0.022176333,0.028847083,,,,,,,,,,
53,134,4.1,0.019622663,0.014727604,0.024542248,0.023629119,0.019563019,0.027670341,0.025819675,0.022426049,0.029129139,,,,,,,,,,
53,134,4.2,0.019761934,0.014849169,0.024674444,0.023950917,0.019905368,0.027960897,0.026084208,0.022699044,0.029359607,,,,,,,,,,
53,134,4.3,0.019898775,0.014963794,0.024822179,0.024267037,0.020197824,0.028299359,0.026341632,0.022983007,0.029597896,,,,,,,,,,
53,134,4.4,0.020033278,0.015092356,0.024937672,0.024577341,0.020530191,0.028699168,0.026592042,0.023215312,0.029944032,,,,,,,,,,
53,134,4.5,0.02016552,0.015204316,0.025097577,0.024881706,0.020762359,0.028968916,0.026835533,0.023418389,0.030163672,,,,,,,,,,
53,134,4.6,0.020295578,0.015358119,0.025246108,0.025180017,0.021058138,0.029294769,0.027072199,0.023655454,0.030397376,,,,,,,,,,
53,134,4.7,0.020423538,0.015490535,0.025344025,0.025472174,0.021353659,0.029589018,0.027302137,0.023910937,0.030619333,,,,,,,,,,
53,134,4.8,0.020549481,0.015549699,0.025503479,0.025758087,0.021655087,0.029874313,0.027525444,0.024152575,0.030834923,,,,,,,,,,
53,134,4.9,0.020673466,0.015746584,0.02561638,0.026037674,0.021902821,0.030182803,0.027742216,0.024343246,0.031055319,,,,,,,,,,
53,134,5,0.020795573,0.01584923,0.025747181,0.026310865,0.022145009,0.030433252,0.02795255,0.024545173,0.031269324,,,,,,,,,,
