Charge Number,E,Uninformed,Informed,JENDL-5
26,12,-1.67E-05,3.24E-04,
27,12,-2.28E-04,7.86E-04,
28,12,-2.54E-04,5.48E-04,
29,12,2.38E-04,-3.29E-04,
30,12,0.00174,-7.78E-04,
31,12,0.00503,0.00178,
32,12,0.01149,0.00928,
33,12,0.02295,0.02187,
34,12,0.04144,0.03882,
35,12,0.06766,0.06029,
36,12,0.0982,0.10794,
37,12,0.12889,0.12488,
38,12,0.14712,0.1285,
39,12,0.12297,0.13053,
40,12,0.13322,0.12526,
41,12,0.08528,0.07674,
42,12,0.06209,0.0654,
43,12,0.04132,0.03276,
44,12,0.0288,0.02487,
45,12,0.02382,0.02075,
46,12,0.02295,0.02145,
47,12,0.02465,0.02559,
48,12,0.02977,0.03209,
49,12,0.04093,0.04311,
50,12,0.06099,0.06314,
51,12,0.08893,0.09124,
52,12,0.11986,0.12402,
53,12,0.13091,0.14355,
54,12,0.1413,0.13832,
55,12,0.12859,0.1219,
56,12,0.10328,0.10458,
57,12,0.05894,0.0653,
58,12,0.03426,0.0356,
59,12,0.01909,0.01698,
60,12,0.01011,0.00742,
61,12,0.00513,0.00323,
62,12,0.00253,0.00158,
63,12,0.00139,0.00102,
64,12,0.00102,8.21E-04,
65,12,0.00121,8.00E-04,
66,12,0.00161,6.80E-04,
67,12,0.00171,2.82E-04,
68,12,0.00107,1.04E-04,
69,12,2.41E-04,2.65E-05,
70,12,-1.07E-04,1.57E-05,
71,12,-3.12E-05,3.27E-06,
23,13,8.73E-06,8.45E-05,
24,13,6.22E-05,1.44E-04,
25,13,9.06E-05,7.96E-05,
26,13,-1.90E-04,2.63E-04,
27,13,-5.09E-04,6.36E-04,
28,13,-6.18E-04,3.18E-04,
29,13,-1.41E-04,-5.77E-04,
30,13,0.00139,-9.29E-04,
31,13,0.00472,0.00178,
32,13,0.01121,0.00946,
33,13,0.02272,0.02211,
34,13,0.04124,0.03869,
35,13,0.06743,0.05912,
36,13,0.09844,0.10375,
37,13,0.1281,0.12388,
38,13,0.14556,0.12656,
39,13,0.12412,0.12964,
40,13,0.12927,0.12423,
41,13,0.08613,0.08006,
42,13,0.06293,0.0671,
43,13,0.04141,0.03608,
44,13,0.02852,0.02743,
45,13,0.02355,0.02266,
46,13,0.02273,0.02295,
47,13,0.02452,0.02696,
48,13,0.03003,0.03345,
49,13,0.04233,0.04427,
50,13,0.06325,0.06393,
51,13,0.09069,0.09158,
52,13,0.11874,0.12164,
53,13,0.13315,0.13607,
54,13,0.1404,0.13285,
55,13,0.12664,0.12028,
56,13,0.10087,0.10273,
57,13,0.05792,0.06459,
58,13,0.03347,0.03533,
59,13,0.01835,0.01689,
60,13,0.00939,0.00737,
61,13,0.00441,0.00316,
62,13,0.0018,0.00147,
63,13,6.42E-04,8.65E-04,
64,13,2.50E-04,6.35E-04,
65,13,4.22E-04,5.85E-04,
66,13,8.11E-04,4.39E-04,
67,13,0.00102,1.05E-04,
68,13,6.58E-04,9.92E-05,
69,13,8.07E-05,2.66E-05,
70,13,-1.44E-04,1.50E-05,
71,13,-3.47E-05,3.10E-06,
23,14,8.02E-06,1.01E-04,
24,14,5.24E-05,1.60E-04,
25,14,3.75E-05,6.19E-05,
26,14,-3.32E-04,1.96E-04,
27,14,-7.35E-04,4.71E-04,
28,14,-9.19E-04,6.87E-05,
29,14,-4.66E-04,-8.42E-04,
30,14,0.00109,-0.00109,
31,14,0.00445,0.00178,
32,14,0.01097,0.00963,
33,14,0.02252,0.02234,
34,14,0.04107,0.03853,
35,14,0.06722,0.05783,
36,14,0.0985,0.09949,
37,14,0.12725,0.12287,
38,14,0.14432,0.12541,
39,14,0.12563,0.1289,
40,14,0.1252,0.12399,
41,14,0.08708,0.08381,
42,14,0.06355,0.06821,
43,14,0.04129,0.03956,
44,14,0.02818,0.0301,
45,14,0.02328,0.02462,
46,14,0.0225,0.02442,
47,14,0.02434,0.02824,
48,14,0.03015,0.03469,
49,14,0.04348,0.04523,
50,14,0.06581,0.06442,
51,14,0.09307,0.09197,
52,14,0.11774,0.11928,
53,14,0.13487,0.12816,
54,14,0.13952,0.12741,
55,14,0.12557,0.11869,
56,14,0.09868,0.10099,
57,14,0.05695,0.06385,
58,14,0.03269,0.03502,
59,14,0.01762,0.01676,
60,14,0.00869,0.00729,
61,14,0.00371,0.00307,
62,14,0.00109,0.00135,
63,14,-8.54E-05,6.97E-04,
64,14,-4.99E-04,4.32E-04,
65,14,-3.46E-04,3.54E-04,
66,14,3.32E-05,1.85E-04,
67,14,3.38E-04,-8.44E-05,
68,14,2.46E-04,9.38E-05,
69,14,-8.41E-05,2.66E-05,
70,14,-1.83E-04,1.43E-05,
71,14,-3.87E-05,2.91E-04,
23,2.53E-08,,,8.55E-19
24,2.53E-08,,,3.96E-14
25,2.53E-08,,,1.54E-11
26,2.53E-08,,,1.27E-09
27,2.53E-08,,,1.26E-08
28,2.53E-08,,,2.69E-07
29,2.53E-08,,,2.81E-06
30,2.53E-08,,,1.10E-04
31,2.53E-08,,,5.21E-04
32,2.53E-08,,,0.00451
33,2.53E-08,,,0.00887
34,2.53E-08,,,0.03923
35,2.53E-08,,,0.05733
36,2.53E-08,,,0.15393
37,2.53E-08,,,0.13474
38,2.53E-08,,,0.18181
39,2.53E-08,,,0.12308
40,2.53E-08,,,0.17618
41,2.53E-08,,,0.06773
42,2.53E-08,,,0.04765
43,2.53E-08,,,0.00352
44,2.53E-08,,,4.16E-04
45,2.53E-08,,,2.35E-04
46,2.53E-08,,,3.00E-04
47,2.53E-08,,,3.53E-04
48,2.53E-08,,,5.08E-04
49,2.53E-08,,,0.002
50,2.53E-08,,,0.04232
51,2.53E-08,,,0.08241
52,2.53E-08,,,0.15213
53,2.53E-08,,,0.11464
54,2.53E-08,,,0.21162
55,2.53E-08,,,0.11838
56,2.53E-08,,,0.15451
57,2.53E-08,,,0.07293
58,2.53E-08,,,0.03312
59,2.53E-08,,,0.01004
60,2.53E-08,,,0.0042
61,2.53E-08,,,5.35E-04
62,2.53E-08,,,1.02E-04
63,2.53E-08,,,5.87E-06
64,2.53E-08,,,3.08E-07
65,2.53E-08,,,1.40E-08
66,2.53E-08,,,1.82E-09
67,2.53E-08,,,9.09E-11
68,2.53E-08,,,4.03E-12
69,2.53E-08,,,1.87E-14
70,2.53E-08,,,1.77E-17
71,2.53E-08,,,0
23,0.5,,,3.21E-17
24,0.5,,,7.56E-13
25,0.5,,,2.01E-10
